N,Result,Time,Speedup,Efficiency
0,2280707264,15,1,1
1,2280707264,20,0.75,0.375
2,2280707264,14,1.07143,0.357143
3,2280707264,13,1.15385,0.288462
4,2280707264,12,1.25,0.25
5,2280707264,13,1.15385,0.192308
6,2280707264,15,1,0.142857
7,2280707264,14,1.07143,0.133929
