N,Result,Time,Speedup,Efficiency
0,3318599117,1993,1,1
1,3318599117,3258,0.611725,0.305862
2,3318599117,3819,0.521864,0.173955
3,3318599117,3699,0.538794,0.134699
4,3318599117,3577,0.557171,0.111434
5,3318599117,3395,0.58704,0.09784
6,3318599117,3214,0.6201,0.0885857
7,3318599117,3384,0.588948,0.0736185
