N,Result,Time,Speedup,Efficiency
0,3318599117,1635,1,1
1,3318599117,797,2.05144,1.02572
2,3318599117,532,3.07331,1.02444
3,3318599117,425,3.84706,0.961765
4,3318599117,350,4.67143,0.934286
5,3318599117,288,5.67708,0.946181
6,3318599117,264,6.19318,0.88474
7,3318599117,241,6.78423,0.848029
