N,Result,Time,Speedup,Efficiency
0,3318599117,1978,1,1
1,3318599117,984,2.01016,1.00508
2,3318599117,700,2.82571,0.941905
3,3318599117,681,2.90455,0.726138
4,3318599117,667,2.96552,0.593103
5,3318599117,695,2.84604,0.474341
6,3318599117,728,2.71703,0.388148
7,3318599117,782,2.52941,0.316176
