N,Result,Time,Speedup,Efficiency
0,3318599117,1591,1,1
1,3318599117,766,2.07702,1.03851
2,3318599117,553,2.87703,0.959011
3,3318599117,412,3.86165,0.965413
4,3318599117,340,4.67941,0.935882
5,3318599117,304,5.23355,0.872259
6,3318599117,283,5.62191,0.80313
7,3318599117,301,5.28571,0.660714
