N,Result,Time,Speedup,Efficiency
0,3318599117,1695,1,1
1,3318599117,907,1.8688,0.934399
2,3318599117,578,2.93253,0.977509
3,3318599117,453,3.74172,0.93543
4,3318599117,383,4.42559,0.885117
5,3318599117,339,5,0.833333
6,3318599117,291,5.82474,0.832106
7,3318599117,331,5.12085,0.640106
