N,Result,Time,Speedup,Efficiency
0,3318599117,1728,1,1
1,3318599117,851,2.03055,1.01528
2,3318599117,544,3.17647,1.05882
3,3318599117,441,3.91837,0.979592
4,3318599117,348,4.96552,0.993103
5,3318599117,326,5.30061,0.883436
6,3318599117,286,6.04196,0.863137
7,3318599117,291,5.93814,0.742268
