N,Result,Time,Speedup,Efficiency
0,3318599117,1702,1,1
1,3318599117,1665,1.02222,0.511111
2,3318599117,1746,0.9748,0.324933
3,3318599117,1710,0.995322,0.24883
4,3318599117,1701,1.00059,0.200118
5,3318599117,1744,0.975917,0.162653
6,3318599117,1781,0.955643,0.13652
7,3318599117,1690,1.0071,0.125888
